type,latitude,longitude,altitude (m),name
T,4.68384,-74.04543,2561.7,
T,4.683862,-74.04547,2561.6,
T,4.683883,-74.04552,2561.6,
T,4.683902,-74.04557,2561.5,
T,4.683935,-74.04565,2561.4,
T,4.683958,-74.04571,2561.4,
T,4.683978,-74.04575,2561.3,
T,4.684008,-74.04578,2561.2,
T,4.684033,-74.04583,2561.2,
T,4.684057,-74.04588,2561.1,
T,4.684072,-74.04593,2561.1,
T,4.684095,-74.04598,2561.1,
T,4.684125,-74.04603,2561,
T,4.68416,-74.04611,2561,
T,4.68418,-74.04618,2561,
T,4.6842,-74.04627,2561.1,
T,4.684178,-74.04639,2561,
T,4.684185,-74.04646,2561,
T,4.684183,-74.0465,2561,
T,4.684187,-74.04655,2561.1,
T,4.68422,-74.04667,2561.1,
T,4.684218,-74.04673,2560.9,
T,4.684237,-74.04678,2560.8,
T,4.684272,-74.04682,2560.7,
